,Duration,Source Name,User,Status,epochs,accuracy,loss,val_accuracy,val_loss
1,31.0min,Effusion_model_vgg.py,marvin,FINISHED,50,0.6939461827278137,0.6037473678588867,0.5471698045730591,0.8653433918952942
2,30.6min,Effusion_model_self.py,marvin,FINISHED,50,0.7219731211662292,0.5356930494308472,0.5157232880592346,0.6958801746368408
3,31.1min,Effusion_model_ResNet.py,marvin,FINISHED,50,0.7606502175331116,0.5489475727081299,0.698113203048706,0.681621253490448
4,31.5min,Effusion_model_inception.py,marvin,FINISHED,50,0.7247757911682129,0.5689579248428345,0.6666666865348816,0.680910587310791
5,29.8min,Effusion_model_densenet.py,marvin,FINISHED,50,0.746076226234436,0.5430609583854675,0.6415094137191772,0.7778626680374146
6,30.9min,Cardiomegaly_model_vgg.py,marvin,FINISHED,50,0.6549999713897705,0.6396067142486572,0.6815286874771118,0.636239230632782
7,30.7min,Cardiomegaly_model_self.py,marvin,FINISHED,50,0.7049999833106995,0.5736510157585144,0.5095541477203369,1.1708346605300903
8,31.1min,Cardiomegaly_model_ResNet.py,marvin,FINISHED,50,0.7527777552604675,0.5740110278129578,0.668789803981781,0.672751247882843
9,31.3min,Cardiomegaly_model_inception.py,marvin,FINISHED,50,0.726111114025116,0.5885829925537109,0.7006369233131409,0.6273540258407593
10,29.7min,Cardiomegaly_model_densenet.py,marvin,FINISHED,50,0.721666693687439,0.5883190035820007,0.7261146306991577,0.61176997423172
12,18.7min,Cardiomegaly_model_densenet.py,marvin,FINISHED,30,0.7311111092567444,0.5973328948020935,0.7579618096351624,0.6124102473258972
15,19.0min,Cardiomegaly_model_vgg.py,marvin,FINISHED,30,0.6594444513320923,0.649938702583313,0.6369426846504211,0.6365853548049927
16,18.5min,Cardiomegaly_model_self.py,marvin,FINISHED,30,0.6255555748939514,0.6378930807113647,0.5987260937690735,0.6693746447563171
17,19.1min,Cardiomegaly_model_ResNet.py,marvin,FINISHED,30,0.7655555605888367,0.577559232711792,0.6878980994224548,0.683277428150177
18,19.9min,Cardiomegaly_model_inception.py,marvin,FINISHED,30,0.7311111092567444,0.5912908315658569,0.6942675113677979,0.6071913242340088
19,20.8min,Cardiomegaly_model_densenet.py,marvin,FINISHED,30,0.7350000143051147,0.5902438759803772,0.7515923380851746,0.6031597256660461
23,2.7h,train_model_ResNet.py,marvin,FINISHED,150,0.572749674320221,1.1102641820907593,0.4684385359287262,1.314136266708374
24,2.7h,train_model_inception.py,marvin,FINISHED,150,0.5243526697158813,1.1768007278442385,0.4784053266048431,1.2440831661224363
25,2.6h,train_model_densenet.py,marvin,FINISHED,150,0.5277435183525085,1.1309332847595217,0.4684385359287262,1.2770633697509766
29,3.0min,train_model_ResNet.py,marvin,FINISHED,2,0.4340320527553558,1.5439555644989014,0.4485049843788147,1.522720456123352
33,2.5min,train_model_self.py,marvin,FINISHED,2,0.3387792706489563,1.3681294918060305,0.2657807171344757,1.3985264301300049
36,2.6min,train_model_self.py,marvin,FINISHED,2,0.3360049426555633,1.3742703199386597,0.2657807171344757,1.3970192670822144
38,2.6min,train_model_self.py,marvin,FINISHED,2,0.3403205871582031,1.370155692100525,0.2657807171344757,1.3874595165252686
39,2.6min,train_model_self.py,marvin,FINISHED,2,0.3390875458717346,1.3690065145492554,0.2657807171344757,1.3878597021102903
41,2.6min,train_model_vgg.py,marvin,FINISHED,2,0.3282983899116516,1.4600902795791626,0.2823920249938965,1.4833052158355713
42,2.5min,train_model_self.py,marvin,FINISHED,2,0.3390875458717346,1.3703012466430664,0.2657807171344757,1.3967126607894895
43,2.8min,train_model_ResNet.py,marvin,FINISHED,2,0.4173859357833862,1.5052316188812256,0.3820598125457763,1.4848591089248655
44,3.1min,train_model_inception.py,marvin,FINISHED,2,0.357274979352951,1.6590083837509155,0.4152823984622955,1.5756242275238037
45,3.2min,train_model_densenet.py,marvin,FINISHED,2,0.3884093761444092,1.490906834602356,0.3322259187698364,1.4888665676116943
47,2.7min,train_model_vgg.py,marvin,FINISHED,2,0.3409371078014374,1.4386630058288574,0.2790697813034057,1.469860553741455
48,2.5min,train_model_self.py,marvin,FINISHED,2,0.338162750005722,1.364311695098877,0.2657807171344757,1.396972894668579
49,2.9min,train_model_ResNet.py,marvin,FINISHED,2,0.4247842133045196,1.5064963102340698,0.3887043297290802,1.5117589235305786
50,3.3min,train_model_densenet.py,marvin,FINISHED,2,0.3714549839496612,1.495639443397522,0.3089700937271118,1.4963914155960083
51,3.4min,train_model_densenet.py,marvin,FINISHED,2,0.370838463306427,1.491542100906372,0.2823920249938965,1.5186023712158203
55,2.9min,train_model_ResNet.py,marvin,FINISHED,2,0.40813809633255,1.5263729095458984,0.4451827108860016,1.4753230810165403
62,1.5min,train_model_self.py,marvin,FINISHED,1,0.3252157866954803,1.4015058279037476,0.2724252343177795,1.3889319896697998
64,11.8min,train_model_self.py,marvin,FINISHED,10,0.3390875458717346,1.3526593446731567,0.262458473443985,1.3919757604599
68,23.2min,train_model_inception.py,marvin,FINISHED,20,0.4062885344028473,1.3043503761291504,0.395348846912384,1.3117914199829102
72,55.8min,train_model_ResNet.py,marvin,FINISHED,50,0.532367467880249,1.1593668460845947,0.4950166046619415,1.2079102993011477
73,9.3min,train_model.py,marvin,FINISHED,10,0.5487421154975891,1.0222022533416748,0.4151785671710968,1.21053946018219
76,9.5min,train_model_ResNet.py,marvin,FINISHED,10,0.5577830076217651,1.0123190879821775,0.4955357015132904,1.0773751735687256
77,7.2min,train_model_ResNet.py,marvin,FINISHED,10,0.7005376219749451,5.151424407958984,0.5793103575706482,5.659011363983154
79,6.8min,train_model_ResNet.py,marvin,FINISHED,10,0.7275784611701965,0.6059107780456543,0.704402506351471,0.6678569912910461
80,8.0min,train_model_ResNet.py,marvin,FINISHED,10,0.6695454716682434,0.6587321758270264,0.675000011920929,0.6677360534667969
81,8.1min,train_model_ResNet.py,marvin,FINISHED,10,0.6563636660575867,0.7477325797080994,0.675000011920929,0.715944766998291
82,8.1min,train_model_ResNet.py,marvin,FINISHED,10,0.6490908861160278,0.813828706741333,0.6937500238418579,0.8193521499633789
84,5.5min,train_model_ResNet.py,marvin,FINISHED,10,0.7035714387893677,2.072898626327514,0.6312500238418579,2.56512451171875
85,49.5min,train_model_ResNet.py,marvin,FINISHED,50,0.5996428728103638,4.029929161071777,0.4093750119209289,8.464841842651367
86,20.1min,train_model_ResNet.py,marvin,FINISHED,20,0.5400000214576721,5.773197650909424,0.328125,11.019041061401367
87,35.0min,train_model_ResNet.py,marvin,FINISHED,20,0.3777551054954529,10.549715042114258,0.2821428477764129,13.13296127319336
88,8.8min,train_model_ResNet.py,marvin,FINISHED,8,0.3335714340209961,8.137046813964844,0.2589285671710968,9.904945373535156
89,8.8min,train_model_ResNet.py,marvin,FINISHED,8,0.3335714340209961,8.184882164001465,0.2160714268684387,10.447432518005373
90,1.6h,train_model.py,marvin,FINISHED,100,0.386428564786911,1.602769136428833,0.25,1.8784995079040527
91,4.0min,train_model.py,marvin,FINISHED,3,0.2178571373224258,1.904482126235962,0.1910714358091354,1.941506266593933
92,4.1min,train_model.py,marvin,FINISHED,3,0.2267857193946838,1.8814188241958616,0.208928570151329,1.9399840831756592
96,3.6min,train_model.py,marvin,FINISHED,3,0.2682142853736877,6.839965343475342,0.2035714238882064,8.17932415008545
